2023-05-22 20:05:44 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:253 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (a5fa49498bf0ecaa2e7bbfb1499461d0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:308 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (a5fa49498bf0ecaa2e7bbfb1499461d0)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 20:05:808 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (a5fa49498bf0ecaa2e7bbfb1499461d0)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 20:05:61 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (a5fa49498bf0ecaa2e7bbfb1499461d0)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 20:05:277 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 20:05:375 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (a5fa49498bf0ecaa2e7bbfb1499461d0)] -> xpath: //button[@type='submit']]
2023-05-22 20:05:399 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 20:05:571 INFO  AccountPage :33 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='error ng-binding']'
2023-05-22 20:05:608 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:859 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (f53c95afb6e5c55e8259703429c30b93)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:724 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (f53c95afb6e5c55e8259703429c30b93)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
2023-05-22 20:05:32 INFO  AddCustomerPage :32 - Send text [[ChromeDriver: chrome on WINDOWS (f53c95afb6e5c55e8259703429c30b93)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2023-05-22 20:05:138 INFO  AddCustomerPage :36 - Send text [[ChromeDriver: chrome on WINDOWS (f53c95afb6e5c55e8259703429c30b93)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2023-05-22 20:05:258 INFO  AddCustomerPage :40 - Send text E13DS
2023-05-22 20:05:341 INFO  AddCustomerPage :44 - Click on [[ChromeDriver: chrome on WINDOWS (f53c95afb6e5c55e8259703429c30b93)] -> xpath: //button[@type='submit']]
2023-05-22 20:05:407 INFO  AddCustomerPage :48 - Accept alert
2023-05-22 20:05:520 INFO  AccountPage :33 - Get text Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='error ng-binding']'
2023-05-22 20:05:860 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 20:05:634 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (379e02226eecde86be944df48093d3f7)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 20:05:248 INFO  BankManagerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (379e02226eecde86be944df48093d3f7)] -> xpath: //body/div[3]/div[1]/div[2]/div[1]/div[1]/button[1]]
